block,inicio,fin,n_puntos,duracion_min,duracion_horas,duracion_dias,tipo_gap
2,2025-01-12 23:40:00,2025-01-12 23:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
4,2025-01-23 10:30:00,2025-01-23 10:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
6,2025-01-28 03:00:00,2025-01-28 03:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
8,2025-01-28 06:00:00,2025-01-28 06:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
10,2025-01-29 23:40:00,2025-01-30 08:00:00,51,510,8.5,0.3541666666666667,medio
12,2025-01-30 14:00:00,2025-01-30 14:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
14,2025-01-30 15:40:00,2025-01-30 15:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
16,2025-01-30 16:10:00,2025-01-30 16:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
18,2025-02-01 23:00:00,2025-02-01 23:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
20,2025-02-04 15:30:00,2025-02-04 16:10:00,5,50,0.8333333333333334,0.034722222222222224,medio
22,2025-02-05 13:40:00,2025-02-05 13:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
24,2025-02-08 12:50:00,2025-02-08 12:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
26,2025-02-11 08:20:00,2025-02-11 08:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
28,2025-02-16 18:10:00,2025-02-16 18:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
30,2025-02-17 01:50:00,2025-02-17 01:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
32,2025-02-17 23:20:00,2025-02-17 23:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
34,2025-02-19 14:50:00,2025-02-19 15:00:00,2,20,0.3333333333333333,0.013888888888888888,corto
36,2025-02-20 13:40:00,2025-02-20 13:50:00,2,20,0.3333333333333333,0.013888888888888888,corto
38,2025-02-26 23:50:00,2025-02-27 00:00:00,2,20,0.3333333333333333,0.013888888888888888,corto
40,2025-02-28 12:30:00,2025-02-28 12:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
42,2025-03-02 22:30:00,2025-03-02 22:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
44,2025-03-03 11:40:00,2025-03-03 11:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
46,2025-03-04 13:00:00,2025-03-04 13:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
48,2025-03-05 12:30:00,2025-03-05 12:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
50,2025-03-06 06:10:00,2025-03-06 06:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
52,2025-03-06 07:00:00,2025-03-06 07:10:00,2,20,0.3333333333333333,0.013888888888888888,corto
